"log_date","gc_code","cache_name","cache_url","log_url","checker_status","checker_example_log"
"","GCBBV56","The All Squares, One Loop Challenge","https://www.geocaching.com/geocache/GCBBV56","","SUCCESS!","[SummittDweller](https://www.geocaching.com/profile/?u=SummittDweller) has used [Project-GC](https://project-gc.com/Challenges/GCBBV56/105787 ""Project-GC Challenge Checker"") to see if they qualified for this challenge and they did.

slog:
I have:
ok:1 total loops of 1 needed

log:"
"","GCBBG5G","NoDak Roads Less Traveled Challenge - 30 Counties","https://www.geocaching.com/geocache/GCBBG5G","","Failed",""
"","GCB41TV","Well Rounded Cacher Challenge - 10 x 10","https://www.geocaching.com/geocache/GCB41TV","","SUCCESS!","[SummittDweller](https://www.geocaching.com/profile/?u=SummittDweller) has used [Project-GC](https://project-gc.com/Challenges/GCB41TV/97727 ""Project-GC Challenge Checker"") to see if they qualified for this challenge and they did.

10: Traditional Cache 6964
10: Unknown Cache 1316
10: Event Cache 427
10: Virtual Cache 368
10: Multi-cache 280
10: Letterbox Hybrid 134
10: Wherigo Cache 124
10: Earthcache 58
10: Webcam Cache 30
10: Cache In Trash Out Event 24"
"","GCAE5KB","Gilby Challenge Series: Full Calendar! 🗓️","https://www.geocaching.com/geocache/GCAE5KB","","Failed",""
"","GCA3DGD","Alabama High Point Challenge","https://www.geocaching.com/geocache/GCA3DGD","","Failed",""
"","GCA3DG7","United States Army Challenge","https://www.geocaching.com/geocache/GCA3DG7","","SUCCESS!","[SummittDweller](https://www.geocaching.com/profile/?u=SummittDweller) has used [Project-GC](https://project-gc.com/Challenges/GCA3DG7/73973 ""Project-GC Challenge Checker"") to see if they qualified for this challenge and they did.

OK: AND{
User has 9764 finds (1775 needed) Filters:( types (Traditional Cache , Multi-cache , Unknown Cache , Earthcache , Letterbox Hybrid , Wherigo Cache , Virtual Cache , Webcam Cache , Event Cache , Cache In Trash Out Event , Mega-Event Cache , Giga-Event Cache , Lost and Found Event Cache , Groundspeak Block Party , Groundspeak Lost and Found Celebration , GPS Adventures Exhibit , Groundspeak HQ , Project APE Cache) )
User has 426 finds (247 needed) Filters:( types (Virtual Cache , Earthcache) )
User has 91 finds (21 needed) Filters:( sizes (Large) )
}"
"","GCA3CJF","Jasmer AND Fizzy Challenge","https://www.geocaching.com/geocache/GCA3CJF","","Failed",""
"","GCA3CJ7","Caching to the Moon Challenge 🚀","https://www.geocaching.com/geocache/GCA3CJ7","","Failed",""
"","GCA3CJ5","The COMPLETE Challenge Challenge","https://www.geocaching.com/geocache/GCA3CJ5","","SUCCESS!","[SummittDweller](https://www.geocaching.com/profile/?u=SummittDweller) has used [Project-GC](https://project-gc.com/Challenges/GCA3CJ5/74060 ""Project-GC Challenge Checker"") to see if they qualified for this challenge and they did.

User has 9771 finds (1 needed).Filters:()

gccode cache_name
GCC66 Vine By Me Cache"
"","GCA3BEY","SIGNAL For President Challenge! 🐸","https://www.geocaching.com/geocache/GCA3BEY","","SUCCESS!","[SummittDweller](https://www.geocaching.com/profile/?u=SummittDweller) has used [Project-GC](https://project-gc.com/Challenges/GCA3BEY/74026 ""Project-GC Challenge Checker"") to see if they qualified for this challenge and they did.

#WOOT WOOT, I WON!!#
I needed 270 to win and have 461 votes of the possible 538 votes

**Alabama** 9 votes. 
**Arizona** 11 votes. 
**Arkansas** 6 votes. 
**California** 55 votes. 
**Colorado** 9 votes. 
**Florida** 29 votes. 
**Georgia** 16 votes. 
**Idaho** 4 votes. 
**Illinois** 20 votes. 
**Indiana** 11 votes. 
**Iowa** 6 votes. 
**Kansas** 6 votes. 
**Kentucky** 8 votes. 
**Maryland** 10 votes. 
**Massachusetts** 11 votes. 
**Michigan** 16 votes. 
**Minnesota** 10 votes. 
**Mississippi** 6 votes. 
**Missouri** 10 votes. 
**Montana** 3 votes. 
**Nebraska** 5 votes. 
**Nevada** 6 votes. 
**New Jersey** 14 votes. 
**New Mexico** 5 votes. 
**New York** 29 votes. 
**North Dakota** 3 votes. 
**Ohio** 18 votes. 
**Oklahoma** 7 votes. 
**Oregon** 7 votes. 
**Pennsylvania** 20 votes. 
**South Dakota** 3 votes. 
**Tennessee** 11 votes. 
**Texas** 38 votes. 
**Utah** 6 votes. 
**Vermont** 3 votes. 
**Washington** 12 votes. 
**West Virginia** 5 votes. 
**Wisconsin** 10 votes. 
**Wyoming** 3 votes."
"","GC9MXEW","Galena County Challenge","https://www.geocaching.com/geocache/GC9MXEW","","SUCCESS!","[SummittDweller](https://www.geocaching.com/profile/?u=SummittDweller) has used [Project-GC](https://project-gc.com/Challenges/GC9MXEW/66142 ""Project-GC Challenge Checker"") to see if they qualified for this challenge and they did.

Region: **Iowa** (374)
  Black Hawk County (IA) - GC1924 / Tunnel Valley Resurected / 2002-04-14
  Grundy County (IA) - GC47D9 / Roadman's Treasure / 2002-04-14
  Hardin County (IA) - GC5AAF / White Pine Wash / 2002-06-08
  Jasper County (IA) - GC420E / Rock Creek Lake cache  / 2002-03-28
  Linn County (IA) - GC20EB / I380 Eastern Iowa Airport Bughotel / 2002-03-29
  Mahaska County (IA) - GC4DA8 / Osky bike trail cache / 2002-05-04
  Marion County (IA) - GC29CE / Red Rock North Overlook / 2002-04-23
  Monroe County (IA) - GC4133 / Lake Miami Cache / 2002-05-04
  Polk County (IA) - GC3E16 / Spring 2002 Cache Bash / 2002-06-01
  Story County (IA) - GC525D / Peterson Pit Pioneers / 2002-05-19

Region: **Missouri** (107)
  Adair County (MO) - GCHME3 / Trail of the Geologic Ages / 2004-03-21
  Clay County (MO) - GC1939 / Jesse James Birthplace / 2003-02-18
  Clinton County (MO) - GCA5D0 / The Twin / 2003-02-18
  Daviess County (MO) - GCDCA0 / Pull Over and Cache! / 2003-03-11
  DeKalb County (MO) - GCBB28 / Pony Express Lake  / 2003-02-18
  Jackson County (MO) - GC5C62 / A Whole Lotta Bull / 2002-09-14
  Platte County (MO) - GCGFE3 /  Barry-Platte / 2003-09-21
  Ray County (MO) - GCA23A / Thorn in the Side / 2003-02-18
  Schuyler County (MO) - GCHH9H / Moses and the Indians / 2004-03-20
  Scotland County (MO) - GCE676 / barn trail treasures / 2004-03-20

Region: **Kansas** (10)
  Butler County (KS) - GCM04F / 'round the back / 2006-02-26
  Chase County (KS) - GCTBQ2 / Bazaar Cattle? / 2006-02-26
  Douglas County (KS) - GCXG9H / Japanese Friendship Garden / 2006-08-06
  Elk County (KS) - GCR2DB / Elk River Wind Farm / 2006-02-26
  Franklin County (KS) - GCTBNY / Ottawa RIP / 2006-02-26
  Greenwood County (KS) - GCGEW6 / 54 Underview / 2006-02-26
  Johnson County (KS) - GC20EC / I Couldn't Resist / 2002-04-08
  Leavenworth County (KS) - GCTTHG / Lawrence and the Old Trail / 2006-08-06
  Lyon County (KS) - GC5821 / All Veteran / 2006-02-26
  Wyandotte County (KS) - GCC5F / Rosedale Arch / 2004-08-07"
"","GC92TPF","Z Challenge: 10 Oldest In 10 States","https://www.geocaching.com/geocache/GC92TPF","","SUCCESS!","[SummittDweller](https://www.geocaching.com/profile/?u=SummittDweller) has used [Project-GC](https://project-gc.com/Challenges/GC92TPF/56469 ""Project-GC Challenge Checker"") to see if they qualified for this challenge and they did.

**You have found 20 of 10 required caches.**"
"","GC7T5BA","Oldest in 10 States Challenge","https://www.geocaching.com/geocache/GC7T5BA","","SUCCESS!","[SummittDweller](https://www.geocaching.com/profile/?u=SummittDweller) has used [Project-GC](https://project-gc.com/Challenges/GC7T5BA/39254 ""Project-GC Challenge Checker"") to see if they qualified for this challenge and they did.

The list is the status as of 2026-03-31 04:07 servertime (CET)
Areas you have visited should be in the list below.  Others may appear incidentally
     # gccode  Hiddendate Visitdate Name Region
     1 GC126   2001-01-02 2025-06-27 Trussville Civitan - Alabama's First Cache Alabama
    * 2 GC57    2000-09-09  UNFOUND   Geocache Arizona*
    * 3 GC1B    2000-06-27  UNFOUND   Gorilla Stash Arkansas*
    * 4 GC5B    2000-09-10  UNFOUND   Phil's Memorial Cache (Oldest CA. Cache) California*
    * 5 GC18    2000-07-02  UNFOUND   Tarryall Colorado*
     6 GCFA    2000-12-25 2025-06-25 Christmas Cache Florida
     7 GC1D    2000-06-03 2025-06-18 Beaver Cache (the beavers have moved on) Georgia
    * 8 GC25    2000-06-17  UNFOUND   Camels Prairie Stash Idaho*
     9 GC28    2000-05-13 2022-11-04 Beverly Illinois
    10 GC93    2000-10-23 2023-10-11 Indiana's First Indiana
    11 GC162   2001-01-13 2021-08-30 Maltese Goldfinch (Re-resurrected) Iowa
    12 GC30    2000-05-11 2023-08-19 Mingo Kansas
    13 GC39E   2001-03-01 2023-05-26 Tom Sawyer Kentucky
    *14 GC763   2001-04-21  UNFOUND   Wild Azalea Cache Louisiana*
    *15 GC1FD   2001-02-04  UNFOUND   Jusef's Cache Maryland*
    *16 GC74    2000-10-01  UNFOUND   First Mass Massachusetts*
    *17 GC35    2000-07-16  UNFOUND   Power Island Michigan*
    *18 GC9FF   2000-11-05  UNFOUND   Alvin's Phone Line Minnesota*
    19 GC90    2000-10-19 2026-02-19 Bonita Lakes Mississippi
    20 GC37    2000-06-20 2004-08-06 Missouri's First - Watts Mill Missouri
    21 GC492   2001-03-14 2022-08-17 Fairweather Montana
    22 GC943   2001-05-10 2018-04-12 GO BIG RED Nebraska
    *23 GCF9    2000-12-26  UNFOUND   XKD-380 Nevada*
    *24 GCC8    2000-11-25  UNFOUND   gerbiL cacHe New Jersey*
    25 GC191   2001-02-02 2024-05-23 Open Space  7 New Mexico
    *26 GC39    2000-05-26  UNFOUND   The Spot New York*
    27 GC551   2001-03-25 2022-08-16 The Buck Stops Here! North Dakota
    *28 GC2DBE  2001-01-23  UNFOUND   Ancient Lake Ohio*
    29 GC272   2001-02-11 2024-05-27 Where Eagles Roost Oklahoma
    30 GC12    2000-05-12 2022-08-21 GC12 5/12/2000 Oregon
    31 GC184   2000-09-21 2023-10-15 State Game Lands #109 Pennsylvania
    *32 GC87E   2001-05-01  UNFOUND   CLIFFCACHE South Dakota*
    33 GC132   2001-01-06 2025-06-28 LPS001 Tennessee
    *34 GC62    2000-09-26  UNFOUND   Tombstone Texas*
    *35 GC3B    2000-08-27  UNFOUND   Potters Pond Utah*
    *36 GC86    2000-10-14  UNFOUND   Vermont 1 Vermont*
    *37 GCD     2000-06-21  UNFOUND   Geocache (GCD) Washington*
    38 GC3F0   2001-02-25 2025-05-23 Rich Creek Riches West Virginia
    39 GC3B1   2001-03-02 2022-11-05 Pike Powder Hike Wisconsin
    *40 GCD7E   2001-06-18  UNFOUND   Bridger-Teton Cache Wyoming*"
"","GC5654Z","Counties Challenge: Border-to-Border","https://www.geocaching.com/geocache/GC5654Z","","Failed",""
"","GC3VGHA","Streakin' On......Challenge+Cache","https://www.geocaching.com/geocache/GC3VGHA","","Failed",""
